expression,expression_length
S,1
NS,2
TS,2
NNS,3
NTS,3
TNS,3
TTS,3
NNNS,4
NNTS,4
NTNS,4
NTTS,4
TNNS,4
TNTS,4
TTNS,4
TTTS,4
NNNNS,5
NNNTS,5
NNTNS,5
NNTTS,5
NTNNS,5
NTNTS,5
NTTNS,5
NTTTS,5
TNNNS,5
TNNTS,5
TNTNS,5
TNTTS,5
TTNNS,5
TTNTS,5
TTTNS,5
TTTTS,5
NNNNNS,6
NNNNTS,6
NNNTNS,6
NNNTTS,6
NNTNNS,6
NNTNTS,6
NNTTNS,6
NNTTTS,6
NTNNNS,6
NTNNTS,6
NTNTNS,6
NTNTTS,6
NTTNNS,6
NTTNTS,6
NTTTNS,6
NTTTTS,6
TNNNNS,6
TNNNTS,6
TNNTNS,6
TNNTTS,6
TNTNNS,6
TNTNTS,6
TNTTNS,6
TNTTTS,6
TTNNNS,6
TTNNTS,6
TTNTNS,6
TTNTTS,6
TTTNNS,6
TTTNTS,6
TTTTNS,6
TTTTTS,6
NNNNNNS,7
NNNNNTS,7
NNNNTNS,7
NNNNTTS,7
NNNTNNS,7
NNNTNTS,7
NNNTTNS,7
NNNTTTS,7
NNTNNNS,7
NNTNNTS,7
NNTNTNS,7
NNTNTTS,7
NNTTNNS,7
NNTTNTS,7
NNTTTNS,7
NNTTTTS,7
NTNNNNS,7
NTNNNTS,7
NTNNTNS,7
NTNNTTS,7
NTNTNNS,7
NTNTNTS,7
NTNTTNS,7
NTNTTTS,7
NTTNNNS,7
NTTNNTS,7
NTTNTNS,7
NTTNTTS,7
NTTTNNS,7
NTTTNTS,7
NTTTTNS,7
NTTTTTS,7
TNNNNNS,7
TNNNNTS,7
TNNNTNS,7
TNNNTTS,7
TNNTNNS,7
TNNTNTS,7
TNNTTNS,7
TNNTTTS,7
TNTNNNS,7
TNTNNTS,7
TNTNTNS,7
TNTNTTS,7
TNTTNNS,7
TNTTNTS,7
TNTTTNS,7
TNTTTTS,7
TTNNNNS,7
TTNNNTS,7
TTNNTNS,7
TTNNTTS,7
TTNTNNS,7
TTNTNTS,7
TTNTTNS,7
TTNTTTS,7
TTTNNNS,7
TTTNNTS,7
TTTNTNS,7
TTTNTTS,7
TTTTNNS,7
TTTTNTS,7
TTTTTNS,7
TTTTTTS,7
NNNNNNNS,8
NNNNNNTS,8
NNNNNTNS,8
NNNNNTTS,8
NNNNTNNS,8
NNNNTNTS,8
NNNNTTNS,8
NNNNTTTS,8
NNNTNNNS,8
NNNTNNTS,8
NNNTNTNS,8
NNNTNTTS,8
NNNTTNNS,8
NNNTTNTS,8
NNNTTTNS,8
NNNTTTTS,8
NNTNNNNS,8
NNTNNNTS,8
NNTNNTNS,8
NNTNNTTS,8
NNTNTNNS,8
NNTNTNTS,8
NNTNTTNS,8
NNTNTTTS,8
NNTTNNNS,8
NNTTNNTS,8
NNTTNTNS,8
NNTTNTTS,8
NNTTTNNS,8
NNTTTNTS,8
NNTTTTNS,8
NNTTTTTS,8
NTNNNNNS,8
NTNNNNTS,8
NTNNNTNS,8
NTNNNTTS,8
NTNNTNNS,8
NTNNTNTS,8
NTNNTTNS,8
NTNNTTTS,8
NTNTNNNS,8
NTNTNNTS,8
NTNTNTNS,8
NTNTNTTS,8
NTNTTNNS,8
NTNTTNTS,8
NTNTTTNS,8
NTNTTTTS,8
NTTNNNNS,8
NTTNNNTS,8
NTTNNTNS,8
NTTNNTTS,8
NTTNTNNS,8
NTTNTNTS,8
NTTNTTNS,8
NTTNTTTS,8
NTTTNNNS,8
NTTTNNTS,8
NTTTNTNS,8
NTTTNTTS,8
NTTTTNNS,8
NTTTTNTS,8
NTTTTTNS,8
NTTTTTTS,8
TNNNNNNS,8
TNNNNNTS,8
TNNNNTNS,8
TNNNNTTS,8
TNNNTNNS,8
TNNNTNTS,8
TNNNTTNS,8
TNNNTTTS,8
TNNTNNNS,8
TNNTNNTS,8
TNNTNTNS,8
TNNTNTTS,8
TNNTTNNS,8
TNNTTNTS,8
TNNTTTNS,8
TNNTTTTS,8
TNTNNNNS,8
TNTNNNTS,8
TNTNNTNS,8
TNTNNTTS,8
TNTNTNNS,8
TNTNTNTS,8
TNTNTTNS,8
TNTNTTTS,8
TNTTNNNS,8
TNTTNNTS,8
TNTTNTNS,8
TNTTNTTS,8
TNTTTNNS,8
TNTTTNTS,8
TNTTTTNS,8
TNTTTTTS,8
TTNNNNNS,8
TTNNNNTS,8
TTNNNTNS,8
TTNNNTTS,8
TTNNTNNS,8
TTNNTNTS,8
TTNNTTNS,8
TTNNTTTS,8
TTNTNNNS,8
TTNTNNTS,8
TTNTNTNS,8
TTNTNTTS,8
TTNTTNNS,8
TTNTTNTS,8
TTNTTTNS,8
TTNTTTTS,8
TTTNNNNS,8
TTTNNNTS,8
TTTNNTNS,8
TTTNNTTS,8
TTTNTNNS,8
TTTNTNTS,8
TTTNTTNS,8
TTTNTTTS,8
TTTTNNNS,8
TTTTNNTS,8
TTTTNTNS,8
TTTTNTTS,8
TTTTTNNS,8
TTTTTNTS,8
TTTTTTNS,8
TTTTTTTS,8
NNNNNNNNS,9
NNNNNNNTS,9
NNNNNNTNS,9
NNNNNNTTS,9
NNNNNTNNS,9
NNNNNTNTS,9
NNNNNTTNS,9
NNNNNTTTS,9
NNNNTNNNS,9
NNNNTNNTS,9
NNNNTNTNS,9
NNNNTNTTS,9
NNNNTTNNS,9
NNNNTTNTS,9
NNNNTTTNS,9
NNNNTTTTS,9
NNNTNNNNS,9
NNNTNNNTS,9
NNNTNNTNS,9
NNNTNNTTS,9
NNNTNTNNS,9
NNNTNTNTS,9
NNNTNTTNS,9
NNNTNTTTS,9
NNNTTNNNS,9
NNNTTNNTS,9
NNNTTNTNS,9
NNNTTNTTS,9
NNNTTTNNS,9
NNNTTTNTS,9
NNNTTTTNS,9
NNNTTTTTS,9
NNTNNNNNS,9
NNTNNNNTS,9
NNTNNNTNS,9
NNTNNNTTS,9
NNTNNTNNS,9
NNTNNTNTS,9
NNTNNTTNS,9
NNTNNTTTS,9
NNTNTNNNS,9
NNTNTNNTS,9
NNTNTNTNS,9
NNTNTNTTS,9
NNTNTTNNS,9
NNTNTTNTS,9
NNTNTTTNS,9
NNTNTTTTS,9
NNTTNNNNS,9
NNTTNNNTS,9
NNTTNNTNS,9
NNTTNNTTS,9
NNTTNTNNS,9
NNTTNTNTS,9
NNTTNTTNS,9
NNTTNTTTS,9
NNTTTNNNS,9
NNTTTNNTS,9
NNTTTNTNS,9
NNTTTNTTS,9
NNTTTTNNS,9
NNTTTTNTS,9
NNTTTTTNS,9
NNTTTTTTS,9
NTNNNNNNS,9
NTNNNNNTS,9
NTNNNNTNS,9
NTNNNNTTS,9
NTNNNTNNS,9
NTNNNTNTS,9
NTNNNTTNS,9
NTNNNTTTS,9
NTNNTNNNS,9
NTNNTNNTS,9
NTNNTNTNS,9
NTNNTNTTS,9
NTNNTTNNS,9
NTNNTTNTS,9
NTNNTTTNS,9
NTNNTTTTS,9
NTNTNNNNS,9
NTNTNNNTS,9
NTNTNNTNS,9
NTNTNNTTS,9
NTNTNTNNS,9
NTNTNTNTS,9
NTNTNTTNS,9
NTNTNTTTS,9
NTNTTNNNS,9
NTNTTNNTS,9
NTNTTNTNS,9
NTNTTNTTS,9
NTNTTTNNS,9
NTNTTTNTS,9
NTNTTTTNS,9
NTNTTTTTS,9
NTTNNNNNS,9
NTTNNNNTS,9
NTTNNNTNS,9
NTTNNNTTS,9
NTTNNTNNS,9
NTTNNTNTS,9
NTTNNTTNS,9
NTTNNTTTS,9
NTTNTNNNS,9
NTTNTNNTS,9
NTTNTNTNS,9
NTTNTNTTS,9
NTTNTTNNS,9
NTTNTTNTS,9
NTTNTTTNS,9
NTTNTTTTS,9
NTTTNNNNS,9
NTTTNNNTS,9
NTTTNNTNS,9
NTTTNNTTS,9
NTTTNTNNS,9
NTTTNTNTS,9
NTTTNTTNS,9
NTTTNTTTS,9
NTTTTNNNS,9
NTTTTNNTS,9
NTTTTNTNS,9
NTTTTNTTS,9
NTTTTTNNS,9
NTTTTTNTS,9
NTTTTTTNS,9
NTTTTTTTS,9
TNNNNNNNS,9
TNNNNNNTS,9
TNNNNNTNS,9
TNNNNNTTS,9
TNNNNTNNS,9
TNNNNTNTS,9
TNNNNTTNS,9
TNNNNTTTS,9
TNNNTNNNS,9
TNNNTNNTS,9
TNNNTNTNS,9
TNNNTNTTS,9
TNNNTTNNS,9
TNNNTTNTS,9
